Crosstable of the context with ID: 1
The Crosstable of the current context: X:Object has Attribute; -:Object does not have Attribute
                                   http://www.w3.org/2006/vcard/ https://schema.org/ http://d-nb.info/standards/elementset/ http://dbpedia.org/ontology/ http://xmlns.com/foaf/0.1/ http://www.loc.gov/mads/rdf/ https://d-nb.info/standards/elementset/ http://purl.org/vocab/relationship/ http://vocab.getty.edu/ http://www.ontotext.com/proton/ http://www.w3.org/1999/02/ http://www.w3.org/ns/ http://data.bnf.fr/vocabulary/roles/ http://id.loc.gov/vocabulary/relators/ http://gov.genealogy.net/ http://purl.org/ontology/po/ http://purl.org/ontology/mo/ 
http://www.wikidata.org/entity/P52 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P53 X                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P54 X                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P55 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P56 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P57 -                             X                   X                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P58 -                             -                   X                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P59 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P60 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P61 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P62 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P63 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P64 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P65 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P66 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P67 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P68 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P69 -                             X                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P70 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P71 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P72 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P73 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P74 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P75 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P76 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P77 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P78 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P79 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P80 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P81 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P82 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
http://www.wikidata.org/entity/P83 -                             -                   -                                      -                            -                          -                            -                                       -                                   -                       -                               -                          -                     -                                    -                                      -                         -                            -                            
